city_name,title,price
cn,2018年12月,47246
cn,2019年1月,48339
cn,2019年2月,47375
cn,2019年3月,46708
cn,2019年4月,45359
cn,2019年5月,45979
cn,2019年6月,46673
cn,2019年7月,47756
cn,2019年8月,47690
cn,2019年9月,50052
cn,2019年10月,51002
cn,2019年11月,50946
cn,2019年12月,51525
cn,2020年1月,51617
cn,2020年2月,50216
cn,2020年3月,50961
cn,2020年4月,52061
cn,2020年5月,50875
cn,2020年6月,50787
cn,2020年7月,50533
cn,2020年8月,51308
cn,2020年9月,51319
cn,2020年10月,51389
cn,2020年11月,51838
cn,2020年12月,51518
cn,2021年1月,51206
cn,2021年2月,50197
cn,2021年3月,48447
cn,2021年4月,46780
cn,2021年5月,43516
cn,2021年6月,43299
cn,2021年7月,37558
cn,2021年8月,39504
cn,2021年9月,42301
cn,2021年10月,43562
cn,2021年11月,46571
cn,2021年12月,50141
cn,2022年1月,43520
cn,2022年2月,47496
cn,2022年3月,50421
cn,2022年4月,52057
cn,2022年5月,50888
cn,2022年6月,50762
cn,2022年7月,51075
cn,2022年8月,49232
cn,2022年9月,48343
cn,2022年10月,49236
cn,2022年11月,51654
cn,2022年12月,54929
cn,2023年1月,55522
cn,2023年2月,54976
cn,2023年3月,53919
cn,2023年4月,52868
cn,2023年5月,52161
cn,2023年6月,52838
cn,2023年7月,53843
cn,2023年8月,55298
cn,2023年9月,53928
gz,2015年1月,17328
gz,2015年2月,17331
gz,2015年3月,17344
gz,2015年4月,17243
gz,2015年5月,16897
gz,2015年6月,16890
gz,2015年7月,17003
gz,2015年8月,16735
gz,2015年9月,17005
gz,2015年10月,17071
gz,2015年11月,17100
gz,2015年12月,17320
gz,2016年1月,17479
gz,2016年2月,17568
gz,2016年3月,17971
gz,2016年4月,18235
gz,2016年5月,19018
gz,2016年6月,18842
gz,2016年7月,18941
gz,2016年8月,19433
gz,2016年9月,19730
gz,2016年10月,20428
gz,2016年11月,20553
gz,2016年12月,21302
gz,2017年1月,21618
gz,2017年2月,21739
gz,2017年3月,23231
gz,2017年4月,24307
gz,2017年5月,24948
gz,2017年6月,29959
gz,2017年7月,29672
gz,2017年8月,30271
gz,2017年9月,30677
gz,2017年10月,30503
gz,2017年11月,30898
gz,2017年12月,30449
gz,2018年1月,30622
gz,2018年2月,31048
gz,2018年3月,32124
gz,2018年4月,31813
gz,2018年5月,32424
gz,2018年6月,31210
gz,2018年7月,31011
gz,2018年8月,32369
gz,2018年9月,32104
gz,2018年10月,30488
gz,2018年11月,30086
gz,2018年12月,30102
gz,2019年1月,29589
gz,2019年2月,29420
gz,2019年3月,29274
gz,2019年4月,29755
gz,2019年5月,30129
gz,2019年6月,30255
gz,2019年7月,31010
gz,2019年8月,29809
gz,2019年9月,30064
gz,2019年10月,31132
gz,2019年11月,31285
gz,2019年12月,31735
gz,2020年1月,32191
gz,2020年2月,32511
gz,2020年3月,32211
gz,2020年4月,31772
gz,2020年5月,32195
gz,2020年6月,31955
gz,2020年7月,32348
gz,2020年8月,32179
gz,2020年9月,31821
gz,2020年10月,31645
gz,2020年11月,31516
gz,2020年12月,31948
gz,2021年1月,31493
gz,2021年2月,31610
gz,2021年3月,31760
gz,2021年4月,31615
gz,2021年5月,31383
gz,2021年6月,31226
gz,2021年7月,33427
gz,2021年8月,34677
gz,2021年9月,33838
gz,2021年10月,33489
gz,2021年11月,33462
gz,2021年12月,33542
gz,2022年1月,33388
gz,2022年2月,33500
gz,2022年3月,33538
gz,2022年4月,33136
gz,2022年5月,33027
gz,2022年6月,33264
gz,2022年7月,34184
gz,2022年8月,34710
gz,2022年9月,34341
gz,2022年10月,34183
gz,2022年11月,34449
gz,2022年12月,34739
gz,2023年1月,34785
gz,2023年2月,35021
gz,2023年3月,35048
gz,2023年4月,35240
gz,2023年5月,35495
gz,2023年6月,35391
gz,2023年7月,35831
gz,2023年8月,35607
gz,2023年9月,35302
sz,2015年1月,27183
sz,2015年2月,28559
sz,2015年3月,29923
sz,2015年4月,30576
sz,2015年5月,31771
sz,2015年6月,33505
sz,2015年7月,36922
sz,2015年8月,36623
sz,2015年9月,34422
sz,2015年10月,35747
sz,2015年11月,36410
sz,2015年12月,37458
sz,2016年1月,39677
sz,2016年2月,40961
sz,2016年3月,42945
sz,2016年4月,44335
sz,2016年5月,43565
sz,2016年6月,44211
sz,2016年7月,44714
sz,2016年8月,49646
sz,2016年9月,49357
sz,2016年10月,49543
sz,2016年11月,49658
sz,2016年12月,47746
sz,2017年1月,47307
sz,2017年2月,47840
sz,2017年3月,47876
sz,2017年4月,49613
sz,2017年5月,51356
sz,2017年6月,56460
sz,2017年7月,54905
sz,2017年8月,53003
sz,2017年9月,51806
sz,2017年10月,51419
sz,2017年11月,51952
sz,2017年12月,50196
sz,2018年1月,48049
sz,2018年2月,45803
sz,2018年3月,45072
sz,2018年4月,44913
sz,2018年5月,45959
sz,2018年6月,45730
sz,2018年7月,47486
sz,2018年8月,48661
sz,2018年9月,50150
sz,2018年10月,49110
sz,2018年11月,46347
sz,2018年12月,47605
sz,2019年1月,47385
sz,2019年2月,50871
sz,2019年3月,46551
sz,2019年4月,47298
sz,2019年5月,50764
sz,2019年6月,51811
sz,2019年7月,50276
sz,2019年8月,48780
sz,2019年9月,49930
sz,2019年10月,50219
sz,2019年11月,49849
sz,2019年12月,49099
sz,2020年1月,48783
sz,2020年2月,47561
sz,2020年3月,48292
sz,2020年4月,46440
sz,2020年5月,48271
sz,2020年6月,45294
sz,2020年7月,45623
sz,2020年8月,43561
sz,2020年9月,42967
sz,2020年10月,45335
sz,2020年11月,46158
sz,2020年12月,46578
sz,2021年1月,47100
sz,2021年2月,49261
sz,2021年3月,47300
sz,2021年4月,43063
sz,2021年5月,41300
sz,2021年6月,42837
sz,2021年7月,43351
sz,2021年8月,45516
sz,2021年9月,48013
sz,2021年10月,47296
sz,2021年11月,50070
sz,2021年12月,51630
sz,2022年1月,53002
sz,2022年2月,54083
sz,2022年3月,53192
sz,2022年4月,51360
sz,2022年5月,52525
sz,2022年6月,52816
sz,2022年7月,52805
sz,2022年8月,58858
sz,2022年9月,61172
sz,2022年10月,60617
sz,2022年11月,60360
sz,2022年12月,63257
sz,2023年1月,63677
sz,2023年2月,62052
sz,2023年3月,60134
sz,2023年4月,60174
sz,2023年5月,59269
sz,2023年6月,59569
sz,2023年7月,59162
sz,2023年8月,59141
sz,2023年9月,60397
jl,2015年1月,4920
jl,2015年2月,4920
jl,2015年3月,4920
jl,2015年4月,4920
jl,2015年5月,4920
jl,2015年6月,4920
jl,2015年7月,4920
jl,2015年8月,4920
jl,2015年9月,4920
jl,2015年10月,4920
jl,2015年11月,4920
jl,2015年12月,4920
jl,2016年1月,4920
jl,2016年2月,4920
jl,2016年3月,4920
jl,2016年4月,4920
jl,2016年5月,4920
jl,2016年6月,4920
jl,2016年7月,4920
jl,2016年8月,4920
jl,2016年9月,4920
jl,2016年10月,4920
jl,2016年11月,4920
jl,2016年12月,4769
jl,2017年1月,4769
jl,2017年2月,4769
jl,2017年3月,4769
jl,2017年4月,4906
jl,2017年5月,4906
jl,2017年6月,4915
jl,2017年7月,5125
jl,2017年8月,5137
jl,2017年9月,5285
jl,2017年10月,5285
jl,2017年11月,5383
jl,2017年12月,5422
jl,2018年1月,5576
jl,2018年2月,5576
jl,2018年3月,5733
jl,2018年4月,5586
jl,2018年5月,5825
jl,2018年6月,6640
jl,2018年7月,6783
jl,2018年8月,6848
jl,2018年9月,6246
jl,2018年10月,6767
jl,2018年11月,6801
jl,2018年12月,6819
jl,2019年1月,6855
jl,2019年2月,6855
jl,2019年3月,6928
jl,2019年4月,6805
jl,2019年5月,6845
jl,2019年6月,6864
jl,2019年7月,6942
jl,2019年8月,6942
jl,2019年9月,6972
jl,2019年10月,6989
jl,2019年11月,6944
jl,2019年12月,6958
jl,2020年1月,6919
jl,2020年2月,6968
jl,2020年3月,6954
jl,2020年4月,6954
jl,2020年5月,6908
jl,2020年6月,7181
jl,2020年7月,7082
jl,2020年8月,7172
jl,2020年9月,7095
jl,2020年10月,7205
jl,2020年11月,7205
jl,2020年12月,7186
jl,2021年1月,7134
jl,2021年2月,7151
jl,2021年3月,7200
jl,2021年4月,7229
jl,2021年5月,7244
jl,2021年6月,7211
jl,2021年7月,7193
jl,2021年8月,7466
jl,2021年9月,7435
jl,2021年10月,7435
jl,2021年11月,7317
jl,2021年12月,7323
jl,2022年1月,7423
jl,2022年2月,7229
jl,2022年3月,7104
jl,2022年4月,7104
jl,2022年5月,7104
jl,2022年6月,7046
jl,2022年7月,7079
jl,2022年8月,7034
jl,2022年9月,7034
jl,2022年10月,7110
jl,2022年11月,7110
jl,2022年12月,7110
jl,2023年1月,7110
jl,2023年2月,7077
jl,2023年3月,7077
jl,2023年4月,7077
jl,2023年5月,7077
jl,2023年6月,7077
jl,2023年7月,7077
jl,2023年8月,7059
jl,2023年9月,7078
sy,2015年1月,6741
sy,2015年2月,6741
sy,2015年3月,6741
sy,2015年4月,6741
sy,2015年5月,6746
sy,2015年6月,6746
sy,2015年7月,6746
sy,2015年8月,6746
sy,2015年9月,6739
sy,2015年10月,6738
sy,2015年11月,6744
sy,2015年12月,6727
sy,2016年1月,6757
sy,2016年2月,6759
sy,2016年3月,6785
sy,2016年4月,6802
sy,2016年5月,6867
sy,2016年6月,6900
sy,2016年7月,6906
sy,2016年8月,6887
sy,2016年9月,6963
sy,2016年10月,7036
sy,2016年11月,7049
sy,2016年12月,7117
sy,2017年1月,7129
sy,2017年2月,7230
sy,2017年3月,7333
sy,2017年4月,7466
sy,2017年5月,7727
sy,2017年6月,7881
sy,2017年7月,8195
sy,2017年8月,8544
sy,2017年9月,8853
sy,2017年10月,8861
sy,2017年11月,8820
sy,2017年12月,9393
sy,2018年1月,9608
sy,2018年2月,9598
sy,2018年3月,9575
sy,2018年4月,9443
sy,2018年5月,9207
sy,2018年6月,9288
sy,2018年7月,9956
sy,2018年8月,10133
sy,2018年9月,10281
sy,2018年10月,10355
sy,2018年11月,10510
sy,2018年12月,10470
sy,2019年1月,10491
sy,2019年2月,10514
sy,2019年3月,10600
sy,2019年4月,10775
sy,2019年5月,10762
sy,2019年6月,10835
sy,2019年7月,11087
sy,2019年8月,11299
sy,2019年9月,11338
sy,2019年10月,11408
sy,2019年11月,11830
sy,2019年12月,11779
sy,2020年1月,11713
sy,2020年2月,11817
sy,2020年3月,11664
sy,2020年4月,11792
sy,2020年5月,12390
sy,2020年6月,12413
sy,2020年7月,12396
sy,2020年8月,12321
sy,2020年9月,12609
sy,2020年10月,12642
sy,2020年11月,13181
sy,2020年12月,13286
sy,2021年1月,12918
sy,2021年2月,13017
sy,2021年3月,13354
sy,2021年4月,13136
sy,2021年5月,13121
sy,2021年6月,13880
sy,2021年7月,13744
sy,2021年8月,13566
sy,2021年9月,13482
sy,2021年10月,13432
sy,2021年11月,13759
sy,2021年12月,13757
sy,2022年1月,13669
sy,2022年2月,13704
sy,2022年3月,13677
sy,2022年4月,13521
sy,2022年5月,13481
sy,2022年6月,13560
sy,2022年7月,13457
sy,2022年8月,13391
sy,2022年9月,13314
sy,2022年10月,13305
sy,2022年11月,13107
sy,2022年12月,13128
sy,2023年1月,12980
sy,2023年2月,13092
sy,2023年3月,12958
sy,2023年4月,13125
sy,2023年5月,13034
sy,2023年6月,12799
sy,2023年7月,12720
sy,2023年8月,12572
sy,2023年9月,12910
bt,2015年1月,7033
bt,2015年2月,7033
bt,2015年3月,7033
bt,2015年4月,7033
bt,2015年5月,7033
bt,2015年6月,7033
bt,2015年7月,7033
bt,2015年8月,7033
bt,2015年9月,7033
bt,2015年10月,7033
bt,2015年11月,7033
bt,2015年12月,7033
bt,2016年1月,7033
bt,2016年2月,7033
bt,2016年3月,5721
bt,2016年4月,5714
bt,2016年5月,5522
bt,2016年6月,5506
bt,2016年7月,5577
bt,2016年8月,5633
bt,2016年9月,5630
bt,2016年10月,5633
bt,2016年11月,5644
bt,2016年12月,5691
bt,2017年1月,5712
bt,2017年2月,5716
bt,2017年3月,5798
bt,2017年4月,5793
bt,2017年5月,5832
bt,2017年6月,6130
bt,2017年7月,6123
bt,2017年8月,6259
bt,2017年9月,6305
bt,2017年10月,6352
bt,2017年11月,6278
bt,2017年12月,6435
bt,2018年1月,6447
bt,2018年2月,6385
bt,2018年3月,6576
bt,2018年4月,6586
bt,2018年5月,6895
bt,2018年6月,6602
bt,2018年7月,6649
bt,2018年8月,6671
bt,2018年9月,6637
bt,2018年10月,6694
bt,2018年11月,6746
bt,2018年12月,6714
bt,2019年1月,6763
bt,2019年2月,6965
bt,2019年3月,7118
bt,2019年4月,7096
bt,2019年5月,7239
bt,2019年6月,7323
bt,2019年7月,7334
bt,2019年8月,7356
bt,2019年9月,7458
bt,2019年10月,7490
bt,2019年11月,7444
bt,2019年12月,7390
bt,2020年1月,7353
bt,2020年2月,7355
bt,2020年3月,7162
bt,2020年4月,7185
bt,2020年5月,7319
bt,2020年6月,7416
bt,2020年7月,7496
bt,2020年8月,7543
bt,2020年9月,7461
bt,2020年10月,7330
bt,2020年11月,7318
bt,2020年12月,7349
bt,2021年1月,7436
bt,2021年2月,7475
bt,2021年3月,7439
bt,2021年4月,7357
bt,2021年5月,7443
bt,2021年6月,7567
bt,2021年7月,7535
bt,2021年8月,7492
bt,2021年9月,7471
bt,2021年10月,7352
bt,2021年11月,7359
bt,2021年12月,7382
bt,2022年1月,7378
bt,2022年2月,7419
bt,2022年3月,7417
bt,2022年4月,7416
bt,2022年5月,7416
bt,2022年6月,7416
bt,2022年7月,7416
bt,2022年8月,7416
bt,2022年9月,7416
bt,2022年10月,7416
bt,2022年11月,7416
bt,2022年12月,7416
bt,2023年1月,7416
bt,2023年2月,7415
bt,2023年3月,7401
bt,2023年4月,7377
bt,2023年5月,7377
bt,2023年6月,7377
bt,2023年7月,7421
bt,2023年8月,7385
bt,2023年9月,7396
sjz,2015年1月,6498
sjz,2015年2月,6498
sjz,2015年3月,6498
sjz,2015年4月,6498
sjz,2015年5月,6499
sjz,2015年6月,6532
sjz,2015年7月,6525
sjz,2015年8月,6510
sjz,2015年9月,6510
sjz,2015年10月,6510
sjz,2015年11月,6510
sjz,2015年12月,6394
sjz,2016年1月,6545
sjz,2016年2月,6590
sjz,2016年3月,6691
sjz,2016年4月,6809
sjz,2016年5月,7066
sjz,2016年6月,7244
sjz,2016年7月,7423
sjz,2016年8月,7798
sjz,2016年9月,8367
sjz,2016年10月,8663
sjz,2016年11月,8760
sjz,2016年12月,9072
sjz,2017年1月,9097
sjz,2017年2月,9249
sjz,2017年3月,9544
sjz,2017年4月,9908
sjz,2017年5月,10058
sjz,2017年6月,15177
sjz,2017年7月,15208
sjz,2017年8月,15789
sjz,2017年9月,15758
sjz,2017年10月,15555
sjz,2017年11月,15010
sjz,2017年12月,15299
sjz,2018年1月,15682
sjz,2018年2月,15830
sjz,2018年3月,15803
sjz,2018年4月,15085
sjz,2018年5月,16127
sjz,2018年6月,16468
sjz,2018年7月,16092
sjz,2018年8月,16289
sjz,2018年9月,16079
sjz,2018年10月,15924
sjz,2018年11月,15781
sjz,2018年12月,15322
sjz,2019年1月,15204
sjz,2019年2月,15138
sjz,2019年3月,15014
sjz,2019年4月,15307
sjz,2019年5月,15517
sjz,2019年6月,15882
sjz,2019年7月,15684
sjz,2019年8月,15773
sjz,2019年9月,15847
sjz,2019年10月,15700
sjz,2019年11月,15337
sjz,2019年12月,15377
sjz,2020年1月,15589
sjz,2020年2月,15533
sjz,2020年3月,15259
sjz,2020年4月,15217
sjz,2020年5月,15145
sjz,2020年6月,15106
sjz,2020年7月,15070
sjz,2020年8月,15148
sjz,2020年9月,15347
sjz,2020年10月,15489
sjz,2020年11月,15425
sjz,2020年12月,15331
sjz,2021年1月,15250
sjz,2021年2月,15348
sjz,2021年3月,15314
sjz,2021年4月,15339
sjz,2021年5月,15288
sjz,2021年6月,15051
sjz,2021年7月,14817
sjz,2021年8月,14781
sjz,2021年9月,14862
sjz,2021年10月,14910
sjz,2021年11月,14808
sjz,2021年12月,14989
sjz,2022年1月,15039
sjz,2022年2月,15128
sjz,2022年3月,15051
sjz,2022年4月,15024
sjz,2022年5月,14989
sjz,2022年6月,14912
sjz,2022年7月,14839
sjz,2022年8月,14891
sjz,2022年9月,14825
sjz,2022年10月,14733
sjz,2022年11月,14701
sjz,2022年12月,14726
sjz,2023年1月,14732
sjz,2023年2月,14765
sjz,2023年3月,14734
sjz,2023年4月,14760
sjz,2023年5月,14634
sjz,2023年6月,14564
sjz,2023年7月,14633
sjz,2023年8月,14680
sjz,2023年9月,14687
xj,2015年1月,6975
xj,2015年2月,6975
xj,2015年3月,6975
xj,2015年4月,6975
xj,2015年5月,6977
xj,2015年6月,6975
xj,2015年7月,6975
xj,2015年8月,6975
xj,2015年9月,6975
xj,2015年10月,6975
xj,2015年11月,6975
xj,2015年12月,6975
xj,2016年1月,6975
xj,2016年2月,6975
xj,2016年3月,6975
xj,2016年4月,6975
xj,2016年5月,6975
xj,2016年6月,6975
xj,2016年7月,6975
